Class,FA Card,Description,Major Category,IHS Categorization,My Categorization,Parent,Sub-FA Card,Bar Code,Status,Remarks,Site New Code,Alternate Site ID,Acquisition Cost 31/12/17,Addition in Period,Disposal in Period,Acquisition Cost 31/07/18,Depreciation 31/12/17,Depreciation in Period,Disposal Depreciation in Period,Depreciation 31/07/18,Book Value 31/12/17,Book Value 31/07/18,Dep. Start date,Useful life
TW,FA/TW128164,"I C ,Transportation Project MGT for Hybrid Equi",TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_881A,IHS_OND_0881A,"371,826.06","373,924.53",0,"745,750.59","-141,753.00","-177,365.00",0,"-319,118.00","230,073.06","426,632.59",12/5/2014,8.05833333
TW,FA/TW135968,8XFE+4+FE/GE HYBRID ELECTRICAL INTERFACE BOARD,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_871A,IHS_OND_0871A,"470,124.81",0,0,"470,124.81","-161,220.00","-30,611.00",0,"-191,831.00","308,904.81","278,293.81",12/5/2014,8.95833333
TW,FA/TW160187,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_909A,IHS_OND_0909A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159978,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_902A,IHS_OND_0902A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159977,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_888A,IHS_OND_0888A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159979,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_903A,IHS_OND_0903A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159982,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_910A,IHS_OND_0910A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159983,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_898A,IHS_OND_0898A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159984,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_905A,IHS_OND_0905A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW159985,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_899A,IHS_OND_0899A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW160212,DC to DC Converter 48VDC to +24VDC,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_872A,IHS_OND_0872A,"345,880.15",0,0,"345,880.15","-145,228.00","-27,577.00",0,"-172,805.00","200,652.15","173,075.15",12/5/2014,7.31666667
TW,FA/TW239372,Power Project,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_856A,IHS_OND_0856A,"324,272.03",0,0,"324,272.03","-144,122.00","-63,053.00",0,"-207,175.00","180,150.03","117,097.03",9/1/2016,3
TW,FA/TW239412,Power Project,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_863A,IHS_OND_0863A,"324,272.03",0,0,"324,272.03","-144,122.00","-63,053.00",0,"-207,175.00","180,150.03","117,097.03",9/1/2016,3
TW,FA/TW239540,Power Project,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_905A,IHS_OND_0905A,"324,272.03",0,0,"324,272.03","-144,122.00","-63,053.00",0,"-207,175.00","180,150.03","117,097.03",9/1/2016,3
TW,FA/TW239513,Power Project,TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_899A,IHS_OND_0899A,"324,272.03",0,0,"324,272.03","-144,122.00","-63,053.00",0,"-207,175.00","180,150.03","117,097.03",9/1/2016,3
TW,FA/TW174924,"Transportation, PM IC of Huawei Hybrid Equipme",TOWER,Hybrid,Hybrid,NA,,,NA,,IHS_OND_897A,IHS_OND_0897A,"588,240.08",0,0,"588,240.08","-588,240.08",0,0,"-588,240.08",0,0,12/5/2014,2.55833333
TW,FA/TW128228,Project Managementon Hybrid Equipment for Power So,TOWER,T-HYBRID,NIL COST,NA,,,NA,,IHS_OND_914A,IHS_OND_0914A,"152,774.43","-152,774.43",0,0,"-58,248.00","58,248.00",0,0,"94,526.43",0,12/5/2014,8.05833333
TW,FA/TW128390,I C for Hybrid Cabinet and ATS (Vat Incl.),TOWER,ATS,NIL COST,NA,,,NA,,IHS_OND_914A,IHS_OND_0914A,"169,342.25","-169,342.25",0,0,"-64,555.00","64,555.00",0,0,"104,787.25",0,12/5/2014,8.05833333
TW,FA/TW128534,Transportation of Hybrid Equipment for Power Solut,TOWER,T-HYBRID,NIL COST,NA,,,NA,,IHS_OND_914A,IHS_OND_0914A,"49,714.86","-49,714.86",0,0,"-18,950.00","18,950.00",0,0,"30,764.86",0,12/5/2014,8.05833333
TW,FA/TW135565,"Fabrication, installation and transportation of Hy",TOWER,Earthing Cable,NIL COST,NA,,,NA,,IHS_OND_914A,IHS_OND_0914A,"258,140.83","-258,140.83",0,0,"-87,682.00","87,682.00",0,0,"170,458.83",0,12/5/2014,9.04444444
TW,FA/TW147953,"1*10GE (XFP)/1*STM16 (ESFP,L16.1,LC) hybrid syst",TOWER,T-HYBRID,NIL COST,NA,,,NA,,IHS_OND_914A,IHS_OND_0914A,73.34,-73.34,0,0,-34,34,0,0,39.34,0,12/5/2014,8.21944444
